asia_100_1 | 2.260 | 0.618 | 0.107 | 0.02
asia_100_2 | 0.859 | 0.636 | 0.076 | 0.01
asia_100_3 | 0.804 | 0.634 | 0.071 | 0.01
asia_100_4 | 0.840 | 0.635 | 0.076 | 0.01
asia_100_5 | 0.785 | 0.631 | 0.081 | 0.0
asia_100_6 | 0.761 | 0.618 | 0.076 | 0.0
asia_100_7 | 0.759 | 0.613 | 0.074 | 0.0
asia_100_8 | 0.776 | 0.622 | 0.085 | 0.0
asia_100_9 | 0.773 | 0.643 | 0.069 | 0.0
asia_100_10 | 0.779 | 0.631 | 0.082 | 0.01
asia_100_11 | 0.787 | 0.636 | 0.077 | 0.01
asia_100_12 | 0.766 | 0.628 | 0.072 | 0.01
asia_100_13 | 0.796 | 0.642 | 0.071 | 0.01
asia_100_14 | 0.812 | 0.666 | 0.064 | 0.01
asia_100_15 | 0.769 | 0.650 | 0.065 | 0.0
asia_100_16 | 0.794 | 0.647 | 0.071 | 0.01
asia_100_17 | 0.774 | 0.627 | 0.077 | 0.01
asia_100_18 | 0.775 | 0.623 | 0.081 | 0.01
asia_100_19 | 0.768 | 0.623 | 0.076 | 0.0
asia_100_20 | 0.784 | 0.628 | 0.081 | 0.01
asia_1000_1 | 0.828 | 0.668 | 0.074 | 0.01
asia_1000_2 | 0.796 | 0.649 | 0.071 | 0.01
asia_1000_3 | 0.785 | 0.627 | 0.079 | 0.01
asia_1000_4 | 0.817 | 0.665 | 0.073 | 0.01
asia_1000_5 | 0.809 | 0.652 | 0.081 | 0.01
asia_1000_6 | 0.812 | 0.646 | 0.071 | 0.01
asia_1000_7 | 0.826 | 0.661 | 0.081 | 0.01
asia_1000_8 | 0.859 | 0.666 | 0.074 | 0.06
asia_1000_9 | 0.813 | 0.646 | 0.092 | 0.02
asia_1000_10 | 0.831 | 0.666 | 0.083 | 0.01
asia_1000_11 | 0.772 | 0.626 | 0.074 | 0.01
asia_1000_12 | 0.799 | 0.639 | 0.080 | 0.01
asia_1000_13 | 0.811 | 0.654 | 0.086 | 0.01
asia_1000_14 | 0.802 | 0.664 | 0.076 | 0.01
